eps,min_samples,n_clusters_sin_ruido,silhouette,davies_bouldin
0.1,3,13,-0.37015228110509885,3.5758027951707256
0.1,5,8,-0.21287693999030843,2.240776982389691
0.1,10,28,-0.059202723163208244,1.3908606332442377
0.15,3,4,-0.13493074395492888,3.3517527888829264
0.15,5,3,0.1828751844753096,2.1752592346027315
0.15,10,2,0.25830764842300824,2.789108448693915
0.2,3,1,,
0.2,5,2,0.271356014883565,2.076787581785962
0.2,10,2,0.27719049531036055,3.361873705960072
0.25,3,1,,
0.25,5,1,,
0.25,10,2,0.13649150591303574,1.5566720670045673
0.3,3,1,,
0.3,5,1,,
0.3,10,2,0.3835843458053048,1.0251603445254962
